town,name,address,phone,toilet
DUBLIN COUNTY COUNCIL,Ballyfermot Library,Ballyfermot Road D.10,+353 (0) 83 3959860,yes
DUBLIN COUNTY COUNCIL,Ballymun Library,Ballymun Road D.9 ,+353 (0) 91 845592,yes
DUBLIN COUNTY COUNCIL,Cabra Library,Navan Road D. 7,+353 (0) 90 9749200,yes
DUBLIN COUNTY COUNCIL,"Central Library, Ilac","Ilac Centre, Dublin 1",+353 (0) 99 20937,no
DUBLIN COUNTY COUNCIL,Charleville Mall Library,Charleville Mall Dublin 3,+353 (0) 93 24287,no
DUBLIN COUNTY COUNCIL,Coolock Library,Barryscourt Road Dublin 17,+353 (0) 95 42920,no
DUBLIN COUNTY COUNCIL,Dolphins Barn Library,"Parnell Road, D 12",+353 (0) 91 380590,no
DUBLIN COUNTY COUNCIL,Donaghmede Library,"Donaghmede Shopping Centre, D 13 ",+353 (0) 93 36406,no
DUBLIN COUNTY COUNCIL,Drumcondra Library,"Milmount Ave, Dublin 9",+353 (0) 90 9675056,yes
DUBLIN COUNTY COUNCIL,Dublin City Library & Archive,138-144 Pearse Street Dublin 2,+353 90 9741261,yes
DUBLIN COUNTY COUNCIL,Finglas Library,"Finglas Shopping Centre, Jamestown Road, D. 11",+353 (0) 90 6624919,no
DUBLIN COUNTY COUNCIL,Inchicore Library,"34 Emmet Road, D. 8",+353 (0) 93 38923,no
DUBLIN COUNTY COUNCIL,Kevin Street Library,"18 Lower Kevin Street, Dublin 8",+353 (0) 95 21092,no
DUBLIN COUNTY COUNCIL,Marino Library,14-20 Marino Mart D. 3,+353 (0) 91 504028,no
DUBLIN COUNTY COUNCIL,Pembroke Library,"Anglesea Road, Dublin 4 ",+353 (0) 90 9643464,yes
DUBLIN COUNTY COUNCIL,Phibsboro Library,"Blacquire Bridge, Dublin 7 ",+353 (0) 90 9679072,no
DUBLIN COUNTY COUNCIL,Raheny Library,Howth Road Dublin 5,+353 (0) 91 847220,yes
DUBLIN COUNTY COUNCIL,Rathmines Library,"157 Lower Rathmines Road, D. 6",+353 (0) 91 792117,yes
DUBLIN COUNTY COUNCIL,Ringsend Library Library,Fitzwilliam Street D. 4,+353 (0) 91 595733,no
DUBLIN COUNTY COUNCIL,Terenure Library,"Templeogue Road, Dublin 6",+353 (0) 91 631224,no
DUBLIN COUNTY COUNCIL,Walkinstown Library,"Percy French Road, Dublin 12",+353 (0) 91 631225,yes
